state,ebrw,math,total
Alabama,583,560,1143
Alaska,556,541,1097
Arizona,569,565,1134
Arkansas,582,559,1141
California,534,531,1065
Colorado,518,506,1024
Connecticut,529,516,1046
Delaware,499,486,985
District of Columbia,495,480,975
Florida,516,483,999
Georgia,538,519,1058
Hawaii,550,550,1100
Idaho,505,488,993
Illinois,509,504,1013
Indiana,543,537,1080
Iowa,622,622,1244
Kansas,618,623,1241
Kentucky,620,612,1232
Louisiana,610,591,1200
Maine,512,502,1013
Maryland,535,523,1058
Massachusetts,559,561,1120
Michigan,507,496,1003
Minnesota,636,648,1284
Mississippi,628,608,1237
Missouri,622,615,1236
Montana,603,596,1199
Nebraska,628,631,1260
Nevada,580,576,1156
New Hampshire,533,526,1059
New Jersey,544,545,1090
New Mexico,543,530,1073
New York,531,533,1064
North Carolina,554,546,1100
North Dakota,627,636,1263
Ohio,550,548,1097
Oklahoma,490,472,963
Oregon,562,550,1112
Pennsylvania,545,537,1082
Puerto Rico,483,462,944
Rhode Island,503,492,995
South Carolina,526,504,1030
South Dakota,633,635,1268
Tennessee,618,602,1220
Texas,515,507,1022
Utah,614,615,1230
Vermont,560,546,1106
Virgin Islands,490,445,935
Virginia,567,551,1119
Washington,539,535,1074
West Virginia,483,460,943
Wisconsin,635,648,1283
Wyoming,623,615,1238
